experiment,variant,method,ate_rmse,ate_mean,ate_median,ate_std,ate_min,ate_max,total_comm_rounds,total_bytes_communicated,iterations_1pct
a5678,ns,cbs,64.8384,42.905,26.8139,48.6126,2.5526,213.0781,,380937,53
a5678,ns,dpgo,2.6106,2.4233,2.3457,0.9711,0.7913,4.6411,,,
a5678,ns,lm_optimized,3.3494,2.9856,2.7144,1.5181,0.3597,7.2424,,,
a5678,ns-as,asapp,17.6104,15.6835,14.1855,8.0097,4.6629,33.8724,228,115440,57
a5678,ns-as,cbs,2.803,2.4496,1.9296,1.3623,0.5296,6.1505,,911792,101
a5678,ns-as,cbs_plus,2.8465,2.4936,2.2351,1.3727,0.4805,6.3772,,911840,101
a5678,ns-as,dgs,12.6215,11.1393,11.0063,5.9343,0.9929,28.5713,15956,23513880,3989
a5678,ns-as,dpgo,2.5497,2.1445,1.7644,1.3792,0.1573,6.8965,,,
a5678,ns-as,lm_optimized,4.1944,3.09,2.0272,2.8363,0.2719,15.2518,,,
a5678,ns-as-l,cbs,81.7225,66.6864,42.5997,47.2387,8.109,261.223,,937184,100
a5678,ns-as-l,cbs_plus,81.547,66.4591,42.9087,47.2556,8.2355,260.2338,,937136,100
a5678,ns-as-l,dpgo,2.3367,2.0484,1.8226,1.1242,0.432,6.1353,,,
a5678,ns-as-l,lm_optimized,3.5818,2.6954,1.9395,2.3589,0.4551,13.3887,,,
campus,mixvpr,dpgo,11.4386,10.145,8.8731,5.2839,2.5848,27.9543,,,
campus,mixvpr,lm_optimized,11.555,10.5135,9.773,4.7942,1.263,22.7763,,,
campus,no-scoring,dpgo,9.866,8.7001,8.142,4.6525,0.3384,20.049,,,
campus,no-scoring,lm_optimized,8.8414,7.9463,7.3402,3.8764,1.6943,19.491,,,
campus,ns-as,asapp,48.0681,41.4366,35.509,24.3629,3.1645,103.135,2029,7120880,430
campus,ns-as,cbs,10.5689,9.7025,9.0343,4.191,1.6148,23.0775,,5964952,101
campus,ns-as,cbs_plus,9.7691,8.8804,8.4792,4.0713,1.5119,22.1614,,5964952,101
campus,ns-as,dgs,8.6511,7.8542,7.0748,3.6267,0.0916,21.6088,76947,173272200,5919
campus,ns-as,dpgo,8.8719,7.9225,7.3544,3.9931,0.2011,20.7743,,,
campus,ns-as,lm_optimized,9.158,7.9646,7.3648,4.5206,0.809,24.7597,,,
campus,ns-as-vpr,dpgo,9.2409,8.163,7.225,4.3312,0.1989,21.3782,,,
campus,ns-as-vpr,lm_optimized,8.1351,7.1845,6.7114,3.8162,0.2329,19.7233,,,
campus,ns-as_bk,dpgo,8.6651,7.7047,7.226,3.9651,0.4538,18.0752,,,
campus,ns-as_bk,lm_optimized,9.4764,8.657,7.941,3.8547,1.5609,20.9101,,,
campus,ns-ncs-nproj,dpgo,10.8022,9.6677,8.9948,4.8191,0.6355,22.1713,,,
campus,ns-ncs-nproj,lm_optimized,10.8126,9.6163,8.579,4.9436,1.35,23.675,,,
g123,ns-as,cbs,6.8779,6.0204,5.4516,3.3258,0.4198,14.7012,,446512,101
g123,ns-as,cbs_plus,5.7152,5.0387,4.5677,2.6972,1.4827,12.2385,,446512,101
g123,ns-as,dgs,8.3266,7.188,7.2983,4.2029,1.2919,18.2945,234,37848,78
g123,ns-as,geodesic-mesa,7.1167,6.4974,5.8576,2.9037,1.722,13.7914,143,105728,143
g123,—,dpgo,7.7761,6.652,5.8188,4.0273,0.7612,18.0687,,,
g123,—,lm_optimized,6.1509,5.5709,4.819,2.6074,1.4569,13.2526,,,
g156,ns-as,asapp,164.2347,146.7476,138.3935,73.744,20.544,314.9765,106,16704,53
g156,ns-as,cbs,8.996,8.444,8.5371,3.1027,2.4844,15.5502,,506672,101
g156,ns-as,cbs_plus,10.0554,9.5915,9.2727,3.0188,3.1558,18.9895,,506672,101
g156,ns-as,dgs,30.3558,25.164,22.7533,16.9778,4.1169,92.5727,3518,1924128,1759
g156,ns-as,geodesic-mesa,67.8893,52.3783,40.2548,43.1911,14.0271,223.4984,41,22112,41
g156,—,dpgo,9.5343,9.0638,8.536,2.958,2.9108,18.1612,,,
g2345,ns-as,asapp,37.433,34.334,32.1784,14.9133,13.9147,74.9465,212,50112,53
g2345,ns-as,cbs,10.5358,8.9991,7.8044,5.4789,0.7122,22.1734,,1019472,101
g2345,ns-as,cbs_plus,11.6175,9.9128,8.3167,6.0584,0.7563,23.7588,,1019448,101
g2345,ns-as,centralized,19.2024,17.0419,15.2505,8.8492,4.1546,46.2716,0,,4001
g2345,ns-as,dgs,32.694,26.1898,20.3503,19.5701,3.0855,112.9531,15496,12791520,3874
