experiment,variant,ate_rmse_m,recall_at_30deg,total_bw_MB,gv_pr_ratio,algebraic_connectivity
a12,jist,4.6949,0.0303,3.694,0.031,3.5606e-06
a12,jist-aug,4.5832,0.0303,,,3.5616e-06
a12,mixvpr,5.0762,0.0,3.602,,3.8409e-06
a12,ns-as,4.4074,0.0303,4.343,0.0549,4.2139e-06
a5678,jist,3.323,0.5183,47.353,0.115,1.2263e-06
a5678,jist-aug,4.7798,0.6861,64.51,0.1396,1.2582e-06
a5678,jist-aug-cs,2.6858,0.6658,69.951,0.1382,1.3642e-06
a5678,jist-cs,3.0205,0.5399,40.953,0.1233,1.3632e-06
a5678,mixvpr,2.241,0.134,20.847,0.8649,1.7334e-06
a5678,ns,,,56.217,0.1598,4.3229e-06
a5678,ns-as,2.5497,0.452,45.05,0.0913,1.2072e-06
campus,jist-aug-cs,10.098,0.4515,117.733,,3.6843e-07
campus,mixvpr,11.4386,0.1643,120.076,0.9917,3.5615e-07
campus,ns,9.866,0.449,,,3.7155e-07
campus,ns-as,8.8719,0.2184,65.994,0.5908,3.2864e-07
campus,ns-as-vpr,9.2409,0.4318,194.504,0.695,6.4795e-07
campus,ns-ncs-nproj,10.8022,0.3785,105.916,0.4744,3.6882e-07
g123,jist,6.6372,0.5906,1.942,,1.4789e-06
g123,jist-aug-cs,5.8018,0.6548,2.45,,1.5135e-06
g123,jist-cs,9.0815,0.6238,1.852,,1.4747e-06
g123,mixvpr,13.9211,0.1525,6.601,,1.2482e-06
g123,ns-as,6.2349,0.6509,5.644,,1.4813e-06
g156,jist,,,,,2.4091e-03
g156,mixvpr,,,,,2.4091e-03
g156,ns-as,8.6907,0.2212,3.137,,8.2045e-07
g2345,jist,12.3317,0.4046,,,4.6855e-04
g2345,mixvpr,12.3317,0.4046,,,5.2591e-04
g2345,ns-as,12.3317,0.4046,18.844,,5.8539e-07
gate,jist,8.5804,0.0286,1.284,,2.3612e-06
gate,jist-aug-cs,9.7007,0.1857,,,1.7091e-06
gate,jist-cs,85946.3601,0.0,,,1.6016e-05
gate,mixvpr,31.5728,0.0104,13.413,0.55,2.0682e-06
gate,ns-as,7.1224,0.1277,7.076,0.2874,2.1879e-06
gate,ns-cs,5.7585,0.2155,8.899,0.4,2.7747e-06
